,name,typ,node,M2S_node,maxcap,Gen_MWh,Weights,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn,Long,Lat,geometry,index_right,NAME
0,PP_2712_1,coal,1514,n_1514,410.8,410.8,,10.80519868,156.104,4.6,540.6272956,28756,143.78,24,24,-79.0722478,36.48093073,POINT (-79.0722478 36.48093073),0,DUKE ENERGY PROGRESS EAST
1,PP_2712_2,coal,1514,n_1514,657.0,657.0,,9.840114956,249.66,4.6,787.408899,45990,229.95,24,24,-79.0722478,36.48093073,POINT (-79.0722478 36.48093073),0,DUKE ENERGY PROGRESS EAST
2,PP_2712_3,coal,1514,n_1514,745.2,745.2,,4.881865003,283.176,4.6,443.0914697,52164,260.82,24,24,-79.0722478,36.48093073,POINT (-79.0722478 36.48093073),0,DUKE ENERGY PROGRESS EAST
3,PP_2712_4,coal,1514,n_1514,745.2,745.2,,6.117322117,283.176,4.6,555.224949,52164,260.82,24,24,-79.0722478,36.48093073,POINT (-79.0722478 36.48093073),0,DUKE ENERGY PROGRESS EAST
12,PP_54276_TG3,coal,4169,n_4169,28.0,28.0,,18.92863428,10.64,4.6,64.55235469,1960,9.8,24,24,-79.06201637,35.90751668,POINT (-79.06201636999999 35.90751668),0,DUKE ENERGY PROGRESS EAST
13,PP_6249_1,coal,9898,n_9898,315.0,315.0,,10.97442153,119.7,4.6,421.0435012,22050,110.25,24,24,-79.35738695,33.33191755,POINT (-79.35738695000001 33.33191755),0,DUKE ENERGY PROGRESS EAST
14,PP_6249_2,coal,9898,n_9898,315.0,315.0,,10.86358764,119.7,4.6,416.7912599,22050,110.25,24,24,-79.35738695,33.33191755,POINT (-79.35738695000001 33.33191755),0,DUKE ENERGY PROGRESS EAST
15,PP_6249_3,coal,9898,n_9898,315.0,315.0,,12.95471058,119.7,4.6,497.0190625,22050,110.25,24,24,-79.35738695,33.33191755,POINT (-79.35738695000001 33.33191755),0,DUKE ENERGY PROGRESS EAST
16,PP_6249_4,coal,9898,n_9898,315.0,315.0,,15.31254511,119.7,4.6,587.4794938,22050,110.25,24,24,-79.35738695,33.33191755,POINT (-79.35738695000001 33.33191755),0,DUKE ENERGY PROGRESS EAST
17,PP_6250_1,coal,1834,n_1834,763.2,763.2,,6.953060785,290.016,4.6,646.3223362,53424,267.12,24,24,-78.88850487,36.52486756,POINT (-78.88850487000001 36.52486756),0,DUKE ENERGY PROGRESS EAST
20,PP_1016_all,ngcc,7619,n_7619,230.4,230.4,,13.31,87.552,3.17,436.0712777,16128,230.4,6,6,-78.82782637,35.09889501,POINT (-78.82782637 35.09889501),0,DUKE ENERGY PROGRESS EAST
21,PP_1016_9,ngcc,7619,n_7619,73.0,73.0,,12.3847,27.74,3.17,128.5598341,5110,73.0,6,6,-78.82782637,35.09889501,POINT (-78.82782637 35.09889501),0,DUKE ENERGY PROGRESS EAST
22,PP_10795_GEN3,ngct,31014,n_31014,19.0,19.0,,8.79,7.22,3.17,24.6306348,1330,19.0,1,1,-80.65528985,34.24364043,POINT (-80.65528985 34.24364043),0,DUKE ENERGY PROGRESS EAST
29,PP_2709_1,ngct,6661,n_6661,195.2,195.2,,7.022461832,74.176,3.17,202.1633054,13664,195.2,1,1,-78.09490687,35.37706564,POINT (-78.09490687 35.37706564),0,DUKE ENERGY PROGRESS EAST
30,PP_2709_1A,ngcc,6661,n_6661,221.0,221.0,,11.69241991,83.98,3.17,367.4460893,15470,221.0,6,6,-78.09490687,35.37706564,POINT (-78.09490687 35.37706564),0,DUKE ENERGY PROGRESS EAST
31,PP_2709_1B,ngcc,6661,n_6661,221.0,221.0,,11.8699891,83.98,3.17,373.0263802,15470,221.0,6,6,-78.09490687,35.37706564,POINT (-78.09490687 35.37706564),0,DUKE ENERGY PROGRESS EAST
32,PP_2709_1C,ngcc,6661,n_6661,221.0,221.0,,11.59024752,83.98,3.17,364.2352189,15470,221.0,6,6,-78.09490687,35.37706564,POINT (-78.09490687 35.37706564),0,DUKE ENERGY PROGRESS EAST
33,PP_2709_2,ngct,6661,n_6661,195.2,195.2,,12.1518319,74.176,3.17,349.8281033,13664,195.2,1,1,-78.09490687,35.37706564,POINT (-78.09490687 35.37706564),0,DUKE ENERGY PROGRESS EAST
34,PP_2709_3,ngct,6661,n_6661,195.2,195.2,,14.03650347,74.176,3.17,404.0842094,13664,195.2,1,1,-78.09490687,35.37706564,POINT (-78.09490687 35.37706564),0,DUKE ENERGY PROGRESS EAST
35,PP_2709_4,ngct,6661,n_6661,195.2,195.2,,18.01652318,74.176,3.17,518.6613989,13664,195.2,1,1,-78.09490687,35.37706564,POINT (-78.09490687 35.37706564),0,DUKE ENERGY PROGRESS EAST
36,PP_2709_5,ngct,6661,n_6661,198.9,198.9,,7.022461832,75.582,3.17,205.9952943,13923,198.9,1,1,-78.09490687,35.37706564,POINT (-78.09490687 35.37706564),0,DUKE ENERGY PROGRESS EAST
