,Plant_id,Balancing Authority Name,Balancing Authority Code,Plant nameplate capacity (MW),Plant primary fuel category,Long,Lat,geometry,Color,index_right,NAME
6233,PP_63444,Duke Energy Carolinas,DUK,5.0,SOLAR,-80.843419,36.283819,POINT (-80.843419 36.283819),yellow,1,DUKE ENERGY CAROLINAS
6234,PP_63447,Duke Energy Carolinas,DUK,4.9,SOLAR,-80.552473,36.21669,POINT (-80.55247300000001 36.21669),yellow,1,DUKE ENERGY CAROLINAS
6235,PP_63445,Duke Energy Carolinas,DUK,4.9,SOLAR,-80.656114,36.14749,POINT (-80.656114 36.14749),yellow,1,DUKE ENERGY CAROLINAS
6238,PP_63448,Duke Energy Carolinas,DUK,4.9,SOLAR,-80.835488,35.916178,POINT (-80.835488 35.916178),yellow,1,DUKE ENERGY CAROLINAS
6239,PP_62661,Duke Energy Carolinas,DUK,3.0,SOLAR,-80.806725,36.197067,POINT (-80.806725 36.197067),yellow,1,DUKE ENERGY CAROLINAS
6240,PP_64271,Duke Energy Carolinas,DUK,3.0,SOLAR,-80.819654,36.148986,POINT (-80.819654 36.148986),yellow,1,DUKE ENERGY CAROLINAS
6242,PP_61195,Duke Energy Progress East,CPLE,2.0,SOLAR,-81.430385,35.244125,POINT (-81.430385 35.244125),yellow,1,DUKE ENERGY CAROLINAS
6243,PP_63296,Duke Energy Carolinas,DUK,2.0,SOLAR,-81.559722,35.23222,POINT (-81.55972199999999 35.23222),yellow,1,DUKE ENERGY CAROLINAS
6247,PP_61525,Duke Energy Progress East,CPLE,5.0,SOLAR,-79.748273,35.728738,POINT (-79.748273 35.728738),yellow,1,DUKE ENERGY CAROLINAS
6254,PP_56339,Duke Energy Carolinas,DUK,1.8,OIL,-80.1939,35.3636,POINT (-80.1939 35.3636),darkviolet,1,DUKE ENERGY CAROLINAS
6255,PP_56263,Duke Energy Carolinas,DUK,3.6,OIL,-80.151849,35.407208,POINT (-80.151849 35.407208),darkviolet,1,DUKE ENERGY CAROLINAS
6261,PP_58730,Duke Energy Carolinas,DUK,3.0,SOLAR,-81.926389,35.316944,POINT (-81.926389 35.316944),yellow,1,DUKE ENERGY CAROLINAS
6264,PP_58731,Duke Energy Carolinas,DUK,5.0,SOLAR,-81.208611,35.651111,POINT (-81.208611 35.651111),yellow,1,DUKE ENERGY CAROLINAS
6266,PP_58264,Duke Energy Carolinas,DUK,10.5,BIOMASS,-81.266667,35.588333,POINT (-81.266667 35.588333),forestgreen,1,DUKE ENERGY CAROLINAS
6267,PP_58701,Duke Energy Carolinas,DUK,20.0,SOLAR,-81.207778,35.738889,POINT (-81.207778 35.738889),yellow,1,DUKE ENERGY CAROLINAS
6268,PP_57994,Duke Energy Carolinas,DUK,21.0,SOLAR,-81.25198,35.588135,POINT (-81.25198 35.588135),yellow,1,DUKE ENERGY CAROLINAS
6269,PP_59474,Duke Energy Carolinas,DUK,17.5,SOLAR,-81.15,35.715,POINT (-81.15000000000001 35.715),yellow,1,DUKE ENERGY CAROLINAS
6270,PP_58828,Duke Energy Carolinas,DUK,5.0,SOLAR,-81.156944,35.629444,POINT (-81.156944 35.629444),yellow,1,DUKE ENERGY CAROLINAS
6271,PP_58492,Duke Energy Carolinas,DUK,3.5,SOLAR,-80.600556,36.461111,POINT (-80.600556 36.461111),yellow,1,DUKE ENERGY CAROLINAS
6273,PP_62623,Duke Energy Progress West,CPLW,5.0,SOLAR,-79.11946,35.717391,POINT (-79.11946 35.717391),yellow,1,DUKE ENERGY CAROLINAS
6275,PP_58315,Duke Energy Carolinas,DUK,5.0,SOLAR,-81.175556,35.779167,POINT (-81.175556 35.779167),yellow,1,DUKE ENERGY CAROLINAS
6277,PP_2706,Duke Energy Progress East,CPLE,1011.5,GAS,-82.5417,35.4731,POINT (-82.54170000000001 35.4731),red,1,DUKE ENERGY CAROLINAS
6278,PP_63064,Duke Energy Progress West,CPLW,8.8,OTHF,-82.517383,35.54012,POINT (-82.517383 35.54012),tan,1,DUKE ENERGY CAROLINAS
6279,PP_59566,Duke Energy Carolinas,DUK,4.0,SOLAR,-80.798889,36.126111,POINT (-80.798889 36.126111),yellow,1,DUKE ENERGY CAROLINAS
6284,PP_58732,Duke Energy Carolinas,DUK,3.0,SOLAR,-81.621944,35.328056,POINT (-81.621944 35.328056),yellow,1,DUKE ENERGY CAROLINAS
6288,PP_60634,Duke Energy Carolinas,DUK,5.0,SOLAR,-81.13735,35.30498,POINT (-81.13735 35.30498),yellow,1,DUKE ENERGY CAROLINAS
6289,PP_54801,Duke Energy Carolinas,DUK,1.2,HYDRO,-79.952494,36.423715,POINT (-79.952494 36.423715),royalblue,1,DUKE ENERGY CAROLINAS
6290,PP_58792,Duke Energy Carolinas,DUK,19.4,SOLAR,-81.615278,35.283056,POINT (-81.615278 35.283056),yellow,1,DUKE ENERGY CAROLINAS
6293,PP_61527,Duke Energy Carolinas,DUK,5.0,SOLAR,-79.347471,36.072359,POINT (-79.347471 36.072359),yellow,1,DUKE ENERGY CAROLINAS
6300,PP_59038,Duke Energy Carolinas,DUK,3.5,SOLAR,-81.33,35.22,POINT (-81.33 35.22),yellow,1,DUKE ENERGY CAROLINAS
6305,PP_2741,Duke Energy Carolinas,DUK,9.0,HYDRO,-83.072007,35.242677,POINT (-83.072007 35.242677),royalblue,1,DUKE ENERGY CAROLINAS
6306,PP_61351,Duke Energy Progress East,CPLE,2.0,SOLAR,-79.449053,35.540344,POINT (-79.44905300000001 35.540344),yellow,1,DUKE ENERGY CAROLINAS
6311,PP_59511,Duke Energy Carolinas,DUK,4.0,SOLAR,-81.665,35.1785,POINT (-81.66500000000001 35.1785),yellow,1,DUKE ENERGY CAROLINAS
6313,PP_8042,Duke Energy Carolinas,DUK,2491.2,COAL,-80.0603,36.2811,POINT (-80.0603 36.2811),grey,1,DUKE ENERGY CAROLINAS
6314,PP_58314,Duke Energy Progress East,CPLE,4.0,SOLAR,-81.508333,35.47,POINT (-81.50833299999999 35.47),yellow,1,DUKE ENERGY CAROLINAS
6317,PP_60881,Duke Energy Carolinas,DUK,1.1,SOLAR,-81.540861,35.84995,POINT (-81.54086100000001 35.84995),yellow,1,DUKE ENERGY CAROLINAS
6318,PP_64175,Duke Energy Carolinas,DUK,5.0,SOLAR,-79.618368,35.975586,POINT (-79.618368 35.975586),yellow,1,DUKE ENERGY CAROLINAS
6322,PP_59930,Duke Energy Carolinas,DUK,5.0,SOLAR,-80.389622,34.970486,POINT (-80.389622 34.970486),yellow,1,DUKE ENERGY CAROLINAS
