,name,typ,M2S_node,Assumed BA,Gen_MWh,weights
0,PP_2712_1,coal,n_1514,CPLE,410.8,0.0896669140437421
1,PP_2712_2,coal,n_1514,CPLE,657.0,0.1434059457807657
2,PP_2712_3,coal,n_1514,CPLE,745.2,0.16265770288558085
3,PP_2712_4,coal,n_1514,CPLE,745.2,0.16265770288558085
4,PP_2718_1,coal,n_28502,DUK,163.2,0.024712669786035524
5,PP_2718_5,coal,n_28502,DUK,272.0,0.04118778297672587
6,PP_2721_5,coal,n_30898,DUK,621.0,0.09403534275201018
7,PP_2721_6,coal,n_30898,DUK,909.5,0.13772164932842715
8,PP_2727_1,coal,n_6669,DUK,348.5,0.05277184693893003
9,PP_2727_2,coal,n_6669,DUK,348.5,0.05277184693893003
10,PP_2727_3,coal,n_6669,DUK,711.0,0.10766365329577977
11,PP_2727_4,coal,n_6669,DUK,711.0,0.10766365329577977
12,PP_54276_TG3,coal,n_4169,DUK,28.0,0.0042399188358394286
13,PP_6249_1,coal,n_9898,CPLE,315.0,0.06875627537433973
14,PP_6249_2,coal,n_9898,CPLE,315.0,0.06875627537433973
15,PP_6249_3,coal,n_9898,CPLE,315.0,0.06875627537433973
16,PP_6249_4,coal,n_9898,CPLE,315.0,0.06875627537433973
17,PP_6250_1,coal,n_1834,CPLE,763.2,0.1665866329069717
18,PP_8042_1,coal,n_6682,DUK,1245.6,0.18861581792577115
19,PP_8042_2,coal,n_6682,DUK,1245.6,0.18861581792577115
20,PP_1016_all,ngcc,n_7619,CPLE,230.4,0.08030112923462987
21,PP_1016_9,ngcc,n_7619,CPLE,73.0,0.025442632092569358
22,PP_10795_GEN3,ngct,n_31014,CPLE,19.0,0.0073589217243115535
23,PP_2706_CT5,ngcc,n_28665,CPLE,191.2,0.06663878433012686
24,PP_2706_CT7,ngcc,n_28665,CPLE,191.2,0.06663878433012686
25,PP_2706_GT1,ngct,n_28665,CPLE,211.7,0.08199388047561872
26,PP_2706_GT2,ngct,n_28665,CPLE,211.8,0.08203261164258879
