,n_6024
0,607.0
1,593.0
2,573.0
3,552.0
4,520.0
5,497.0
6,471.0
7,450.0
8,439.0
9,430.0
10,436.0
11,448.0
12,471.0
13,499.0
14,527.0
15,561.0
16,598.0
17,616.0
18,633.0
19,631.0
20,632.0
21,635.0
22,641.0
23,669.0
24,671.0
25,648.0
26,626.0
27,602.0
28,569.0
29,534.0
30,503.0
31,487.0
32,479.0
33,483.0
34,484.0
35,502.0
36,529.0
37,562.0
38,596.0
39,606.0
40,595.0
41,574.0
42,546.0
43,523.0
44,514.0
45,505.0
46,520.0
47,561.0
48,593.0
49,593.0
50,576.0
51,559.0
52,530.0
53,501.0
54,477.0
55,467.0
56,465.0
57,466.0
58,481.0
59,494.0
60,516.0
61,549.0
62,587.0
63,615.0
64,626.0
65,619.0
66,620.0
67,610.0
68,598.0
69,602.0
70,633.0
71,690.0
72,720.0
73,718.0
74,705.0
75,678.0
76,647.0
77,617.0
78,595.0
79,599.0
80,604.0
81,615.0
82,644.0
83,697.0
84,763.0
85,818.0
86,830.0
87,797.0
88,741.0
89,692.0
90,654.0
91,630.0
92,609.0
93,608.0
94,627.0
95,690.0
96,725.0
97,725.0
98,715.0
99,691.0
100,652.0
101,615.0
102,595.0
103,579.0
104,576.0
105,578.0
106,593.0
107,623.0
108,678.0
109,718.0
110,734.0
111,735.0
112,732.0
113,727.0
114,712.0
115,703.0
116,693.0
117,691.0
118,701.0
119,742.0
120,776.0
121,771.0
122,754.0
123,729.0
124,692.0
125,665.0
126,642.0
127,645.0
128,655.0
129,667.0
130,688.0
131,731.0
132,805.0
133,855.0
134,869.0
135,846.0
136,796.0
137,759.0
138,725.0
139,690.0
140,667.0
141,657.0
142,669.0
143,736.0
144,783.0
145,786.0
146,781.0
147,768.0
148,745.0
149,713.0
150,709.0
151,714.0
152,726.0
153,743.0
154,762.0
155,806.0
156,870.0
157,926.0
158,928.0
159,876.0
160,855.0
161,818.0
162,749.0
163,705.0
164,698.0
165,709.0
166,730.0
167,766.0
168,787.0
169,775.0
170,755.0
171,733.0
172,697.0
173,670.0
174,645.0
175,644.0
176,643.0
177,650.0
178,666.0
179,694.0
180,733.0
181,774.0
182,804.0
183,813.0
184,812.0
185,811.0
186,794.0
187,789.0
188,768.0
189,763.0
190,776.0
191,819.0
192,833.0
193,818.0
194,797.0
195,770.0
196,737.0
197,713.0
198,687.0
199,683.0
200,685.0
201,689.0
202,701.0
203,720.0
204,751.0
205,781.0
206,814.0
207,830.0
208,826.0
209,820.0
210,804.0
211,787.0
212,770.0
213,767.0
214,790.0
215,841.0
216,867.0
217,853.0
218,834.0
219,808.0
220,783.0
221,750.0
222,731.0
223,724.0
224,727.0
225,737.0
226,757.0
227,772.0
228,806.0
229,842.0
230,883.0
231,858.0
232,801.0
233,739.0
234,696.0
235,657.0
236,629.0
237,619.0
238,638.0
239,697.0
240,756.0
241,769.0
242,768.0
243,755.0
244,729.0
245,707.0
246,693.0
247,682.0
248,678.0
249,674.0
250,691.0
251,720.0
252,775.0
253,816.0
254,832.0
255,830.0
256,827.0
257,823.0
258,817.0
259,805.0
260,782.0
261,768.0
262,774.0
263,804.0
264,818.0
265,800.0
266,779.0
267,741.0
268,705.0
269,665.0
270,642.0
271,629.0
272,627.0
273,632.0
274,651.0
275,690.0
276,742.0
277,781.0
278,802.0
279,783.0
280,770.0
281,750.0
282,724.0
283,682.0
284,651.0
285,645.0
286,670.0
287,729.0
288,786.0
289,797.0
290,797.0
291,780.0
292,754.0
293,727.0
294,708.0
295,708.0
296,715.0
297,734.0
298,750.0
299,796.0
300,862.0
301,911.0
302,930.0
303,898.0
304,847.0
305,767.0
306,711.0
307,662.0
308,623.0
309,613.0
310,633.0
311,690.0
312,732.0
313,731.0
314,718.0
315,694.0
316,667.0
317,650.0
318,642.0
319,644.0
320,657.0
321,674.0
322,694.0
323,738.0
324,814.0
325,867.0
326,873.0
327,826.0
328,761.0
329,711.0
330,666.0
331,628.0
332,602.0
333,585.0
