,name,typ,node_check,DC_OPF_node,Assume_BA,capa_MW,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn,Total_Capacity,weights,fuel_type,nearest_node,Weight
0,PP_2712_1,coal,1514,n_1514,CPLE,410.8,410.8,10.80519868,156.104,4.6,540.6272956,28756,143.78,24,24,4581.4,0.0896669140437421,coal,n_1514,0.0896669140437421
1,PP_2712_2,coal,1514,n_1514,CPLE,657.0,657.0,9.840114956,249.66,4.6,787.408899,45990,229.95,24,24,4581.4,0.1434059457807657,coal,n_1514,0.1434059457807657
2,PP_2712_3,coal,1514,n_1514,CPLE,745.2,745.2,4.881865003,283.176,4.6,443.0914697,52164,260.82,24,24,4581.4,0.16265770288558085,coal,n_1514,0.16265770288558085
3,PP_2712_4,coal,1514,n_1514,CPLE,745.2,745.2,6.117322117,283.176,4.6,555.224949,52164,260.82,24,24,4581.4,0.16265770288558085,coal,n_1514,0.16265770288558085
4,PP_2718_1,coal,28502,n_28502,DUK,163.2,163.2,4.693542781,62.016,4.6,93.29442928,11424,57.12,24,24,6603.9,0.024712669786035524,coal,n_28502,0.024712669786035524
5,PP_2718_5,coal,28502,n_28502,DUK,272.0,272.0,12.70930392,103.36,4.6,430.3297173,19040,95.2,24,24,6603.9,0.04118778297672587,coal,n_28502,0.04118778297672587
6,PP_2721_5,coal,30898,n_30898,DUK,621.0,621.0,12.06297659,235.98,4.6,912.3907261,43470,217.35,24,24,6603.9,0.09403534275201018,coal,n_30898,0.09403534275201018
7,PP_2721_6,coal,30898,n_30898,DUK,909.5,909.5,9.347078398,345.61,4.6,1035.41241,63665,318.325,24,24,6603.9,0.13772164932842715,coal,n_30898,0.13772164932842715
8,PP_2727_1,coal,6669,n_6669,DUK,348.5,348.5,9.827141871,132.43,4.6,417.1236224,24395,121.975,24,24,6603.9,0.05277184693893003,coal,n_6669,0.05277184693893003
9,PP_2727_2,coal,6669,n_6669,DUK,348.5,348.5,9.897611564,132.43,4.6,420.1147845,24395,121.975,24,24,6603.9,0.05277184693893003,coal,n_6669,0.05277184693893003
10,PP_2727_3,coal,6669,n_6669,DUK,711.0,711.0,10.00982873,270.18,4.6,866.8241942,49770,248.85,24,24,6603.9,0.10766365329577977,coal,n_6669,0.10766365329577977
11,PP_2727_4,coal,6669,n_6669,DUK,711.0,711.0,9.712992375,270.18,4.6,841.1189657,49770,248.85,24,24,6603.9,0.10766365329577977,coal,n_6669,0.10766365329577977
12,PP_54276_TG3,coal,4169,n_4169,DUK,28.0,28.0,18.92863428,10.64,4.6,64.55235469,1960,9.8,24,24,6603.9,0.0042399188358394286,coal,n_4169,0.0042399188358394286
13,PP_6249_1,coal,9898,n_9898,CPLE,315.0,315.0,10.97442153,119.7,4.6,421.0435012,22050,110.25,24,24,4581.4,0.06875627537433973,coal,n_9898,0.06875627537433973
14,PP_6249_2,coal,9898,n_9898,CPLE,315.0,315.0,10.86358764,119.7,4.6,416.7912599,22050,110.25,24,24,4581.4,0.06875627537433973,coal,n_9898,0.06875627537433973
15,PP_6249_3,coal,9898,n_9898,CPLE,315.0,315.0,12.95471058,119.7,4.6,497.0190625,22050,110.25,24,24,4581.4,0.06875627537433973,coal,n_9898,0.06875627537433973
16,PP_6249_4,coal,9898,n_9898,CPLE,315.0,315.0,15.31254511,119.7,4.6,587.4794938,22050,110.25,24,24,4581.4,0.06875627537433973,coal,n_9898,0.06875627537433973
17,PP_6250_1,coal,1834,n_1834,CPLE,763.2,763.2,6.953060785,290.016,4.6,646.3223362,53424,267.12,24,24,4581.4,0.1665866329069717,coal,n_1834,0.1665866329069717
18,PP_8042_1,coal,6682,n_6682,DUK,1245.6,1245.6,9.779299392,473.328,4.6,1483.61467,87192,435.96,24,24,6603.9,0.18861581792577115,coal,n_6682,0.18861581792577115
19,PP_8042_2,coal,6682,n_6682,DUK,1245.6,1245.6,9.609722212,473.328,4.6,1457.888165,87192,435.96,24,24,6603.9,0.18861581792577115,coal,n_6682,0.18861581792577115
20,PP_1016_all,ngcc,7619,n_7619,CPLE,231.9,231.9,13.31,88.122,3.17,436.0712777,16233,231.9,6,6,2870.7,0.08078169087678964,ngcc,n_7619,0.08078169087678964
21,PP_1016_9,ngcc,7619,n_7619,CPLE,73.0,73.0,12.3847,27.74,3.17,128.5598341,5110,73.0,6,6,2870.7,0.025429337792176127,ngcc,n_7619,0.025429337792176127
22,PP_10795_GEN3,ngct,31014,n_31014,CPLE,19.0,19.0,8.79,7.22,3.17,24.6306348,1330,19.0,1,1,2581.9,0.0073589217243115535,ngct,n_31014,0.0073589217243115535
23,PP_2706_CT5,ngcc,28665,n_28665,CPLE,191.2,191.2,10.18051779,72.656,3.17,276.7927479,13384,191.2,6,6,2870.7,0.06660396418991883,ngcc,n_28665,0.06660396418991883
24,PP_2706_CT7,ngcc,28665,n_28665,CPLE,191.2,191.2,10.20180861,72.656,3.17,277.3716128,13384,191.2,6,6,2870.7,0.06660396418991883,ngcc,n_28665,0.06660396418991883
25,PP_2706_GT1,ngct,28665,n_28665,CPLE,211.7,211.7,14.65058599,80.446,3.17,457.4135049,14819,211.7,1,1,2581.9,0.08199388047561872,ngct,n_28665,0.08199388047561872
