name,Plan_ID,typ,node_check,DC_OPF_node,Assume_BA,capa_MW,weights,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
PP_2712_1,PP_2712,coal,1514,n_1514,CPLE,410.8,0.023606075,410.8,10.80519868,156.104,4.6,540.6272956,28756,143.78,24,24
PP_2712_2,PP_2712,coal,1514,n_1514,CPLE,657,0.03775363,657,9.840114956,249.66,4.6,787.408899,45990,229.95,24,24
PP_2712_3,PP_2712,coal,1514,n_1514,CPLE,745.2,0.042821926,745.2,4.881865003,283.176,4.6,443.0914697,52164,260.82,24,24
PP_2712_4,PP_2712,coal,1514,n_1514,CPLE,745.2,0.042821926,745.2,6.117322117,283.176,4.6,555.224949,52164,260.82,24,24
PP_2718_1,PP_2718,coal,28502,n_28502,DUK,163.2,0.004714978,163.2,4.693542781,62.016,4.6,93.29442928,11424,57.12,24,24
PP_2718_5,PP_2718,coal,28502,n_28502,DUK,272,0.007858296,272,12.70930392,103.36,4.6,430.3297173,19040,95.2,24,24
PP_2721_5,PP_2721,coal,30898,n_30898,DUK,621,0.017941184,621,12.06297659,235.98,4.6,912.3907261,43470,217.35,24,24
PP_2721_6,PP_2721,coal,30898,n_30898,DUK,909.5,0.026276179,909.5,9.347078398,345.61,4.6,1035.41241,63665,318.325,24,24
PP_2727_1,PP_2727,coal,6669,n_6669,DUK,348.5,0.010068442,348.5,9.827141871,132.43,4.6,417.1236224,24395,121.975,24,24
PP_2727_2,PP_2727,coal,6669,n_6669,DUK,348.5,0.010068442,348.5,9.897611564,132.43,4.6,420.1147845,24395,121.975,24,24
PP_2727_3,PP_2727,coal,6669,n_6669,DUK,711,0.020541356,711,10.00982873,270.18,4.6,866.8241942,49770,248.85,24,24
PP_2727_4,PP_2727,coal,6669,n_6669,DUK,711,0.020541356,711,9.712992375,270.18,4.6,841.1189657,49770,248.85,24,24
PP_54276_TG3,PP_54276,coal,4169,n_4169,DUK,28,0.000808942,28,18.92863428,10.64,4.6,64.55235469,1960,9.8,24,24
PP_6249_1,PP_6249,coal,9898,n_9898,CPLE,315,0.018101056,315,10.97442153,119.7,4.6,421.0435012,22050,110.25,24,24
PP_6249_2,PP_6249,coal,9898,n_9898,CPLE,315,0.018101056,315,10.86358764,119.7,4.6,416.7912599,22050,110.25,24,24
PP_6249_3,PP_6249,coal,9898,n_9898,CPLE,315,0.018101056,315,12.95471058,119.7,4.6,497.0190625,22050,110.25,24,24
PP_6249_4,PP_6249,coal,9898,n_9898,CPLE,315,0.018101056,315,15.31254511,119.7,4.6,587.4794938,22050,110.25,24,24
PP_6250_1,PP_6250,coal,1834,n_1834,CPLE,763.2,0.043856272,763.2,6.953060785,290.016,4.6,646.3223362,53424,267.12,24,24
PP_8042_1,PP_8042,coal,6682,n_6682,DUK,1245.6,0.035986375,1245.6,9.779299392,473.328,4.6,1483.61467,87192,435.96,24,24
PP_8042_2,PP_8042,coal,6682,n_6682,DUK,1245.6,0.035986375,1245.6,9.609722212,473.328,4.6,1457.888165,87192,435.96,24,24
PP_1016_all,PP_1016,ngcc,7619,n_7619,CPLE,231.9,0.013325825,231.9,13.31,88.122,3.17,436.0712777,16233,231.9,6,6
PP_1016_9,PP_1016,ngcc,7619,n_7619,CPLE,73,0.004194848,73,12.3847,27.74,3.17,128.5598341,5110,73,6,6
PP_10795_GEN3,PP_10795,ngct,31014,n_31014,CPLE,19,0.00109181,19,8.79,7.22,3.17,24.6306348,1330,19,1,1
PP_2706_CT5,PP_2706,ngcc,28665,n_28665,CPLE,191.2,0.010987053,191.2,10.18051779,72.656,3.17,276.7927479,13384,191.2,6,6
PP_2706_CT7,PP_2706,ngcc,28665,n_28665,CPLE,191.2,0.010987053,191.2,10.20180861,72.656,3.17,277.3716128,13384,191.2,6,6
PP_2706_GT1,PP_2706,ngct,28665,n_28665,CPLE,211.7,0.012165059,211.7,14.65058599,80.446,3.17,457.4135049,14819,211.7,1,1
PP_2706_GT2,PP_2706,ngct,28665,n_28665,CPLE,211.8,0.012170805,211.8,8.87774897,80.484,3.17,277.3077106,14826,211.8,1,1
PP_2706_ST6,PP_2706,ngcc,28665,n_28665,CPLE,102.8,0.005907265,102.8,7.022,39.064,3.17,102.6480945,7196,102.8,6,6
