,Plant_id,Plant nameplate capacity (MW),Plant primary fuel category,Long,Lat,geometry,Color,Balancing Authority Code,index_right,BA_ID,nearest_node,distance_to_nearest_node
6233,PP_63444,5.0,SOLAR,-80.843419,36.283819,POINT (-80.843419 36.283819),yellow,DUK,468,DUK,n_15664,0.00717782982993916
6234,PP_63447,4.9,SOLAR,-80.552473,36.21669,POINT (-80.552473 36.21669),yellow,DUK,51,DUK,n_18870,0.11062039657302969
6235,PP_63445,4.9,SOLAR,-80.656114,36.14749,POINT (-80.656114 36.14749),yellow,DUK,54,DUK,n_6974,0.006223268864672273
6236,PP_62660,5.0,SOLAR,-79.126319,35.427308,POINT (-79.126319 35.427308),yellow,CPLE,622,CPLE,n_10009,0.040184012831855555
6237,PP_64478,4.9,SOLAR,-77.498759,34.78471,POINT (-77.498759 34.78471),yellow,CPLE,712,CPLE,n_9838,0.014913732249631748
6238,PP_63448,4.9,SOLAR,-80.835488,35.916178,POINT (-80.835488 35.916178),yellow,DUK,725,DUK,n_10017,0.20533860446372823
6239,PP_62661,3.0,SOLAR,-80.806725,36.197067,POINT (-80.806725 36.197067),yellow,DUK,777,DUK,n_7049,0.026738215883190794
6240,PP_64271,3.0,SOLAR,-80.819654,36.148986,POINT (-80.819654 36.148986),yellow,DUK,762,DUK,n_7049,0.07210929674414836
6241,PP_63446,4.7,SOLAR,-77.185771,34.773578,POINT (-77.185771 34.773578),yellow,DUK,319,CPLE,n_9454,0.05526731782798683
6242,PP_61195,2.0,SOLAR,-81.430385,35.244125,POINT (-81.430385 35.244125),yellow,CPLE,268,DUK,n_29803,0.07895325449298365
6243,PP_63296,2.0,SOLAR,-81.559722,35.23222,POINT (-81.559722 35.23222),yellow,DUK,268,DUK,n_4496,0.029959271954552027
6244,PP_63979,2.0,SOLAR,-78.385888,35.629398,POINT (-78.385888 35.629398),yellow,CPLE,158,CPLE,n_6893,0.06656042653384664
6245,PP_59534,5.0,SOLAR,-78.411667,35.4325,POINT (-78.411667 35.4325),yellow,CPLE,414,CPLE,n_6906,0.08532705876940216
6247,PP_61525,5.0,SOLAR,-79.748273,35.728738,POINT (-79.748273 35.728738),yellow,CPLE,906,Overlapping,n_6692,0.008442283272320668
6248,PP_62621,5.0,SOLAR,-79.911423,35.359674,POINT (-79.911423 35.359674),yellow,CPLE,682,CPLE,n_29983,0.020918871712173204
6249,PP_64238,4.9,SOLAR,-78.996148,34.324366,POINT (-78.996148 34.324366),yellow,CPLE,736,CPLE,n_9841,0.053910312132250886
6250,PP_63225,4.9,SOLAR,-78.06444,34.27355,POINT (-78.06444 34.27355),yellow,CPLE,135,CPLE,n_6658,0.05318415022824256
6252,PP_60288,5.0,SOLAR,-79.1194,34.83091,POINT (-79.1194 34.83091),yellow,DUK,214,CPLE,n_15226,0.005813703329205157
6254,PP_56339,1.8,OIL,-80.1939,35.3636,POINT (-80.1939 35.3636),darkviolet,DUK,258,Overlapping,n_15692,0.08178800994260323
6255,PP_56263,3.6,OIL,-80.151849,35.407208,POINT (-80.151849 35.407208),darkviolet,DUK,258,Overlapping,n_15692,0.030093669477010292
6256,PP_58806,5.0,SOLAR,-77.556944,35.293056,POINT (-77.556944 35.293056),yellow,CPLE,561,CPLE,n_23782,0.12685413864515796
6257,PP_59901,5.0,SOLAR,-77.812667,35.093021,POINT (-77.812667 35.093021),yellow,CPLE,696,CPLE,n_16404,0.052694253098283204
6259,PP_58344,5.0,SOLAR,-77.985556,35.418889,POINT (-77.985556 35.418889),yellow,CPLE,772,CPLE,n_6661,0.11707607019133631
6260,PP_59516,16.0,SOLAR,-77.655833,36.418333,POINT (-77.655833 36.418333),yellow,PJM,3,CPLE,n_6402,0.022307244857092425
6261,PP_58730,3.0,SOLAR,-81.926389,35.316944,POINT (-81.926389 35.316944),yellow,DUK,861,DUK,n_11742,0.045111602977658295
6262,PP_59115,1.9,SOLAR,-78.516667,34.975556,POINT (-78.516667 34.975556),yellow,CPLE,858,CPLE,n_13956,0.17681142115290285
6263,PP_59497,5.0,SOLAR,-77.1099,35.1608,POINT (-77.1099 35.1608),yellow,DUK,271,CPLE,n_9867,0.008428488493830792
