,Plant_id,Plant nameplate capacity (MW),Plant primary fuel category,Long,Lat,geometry,Color,eGRID_BA,index_right,BA_ID,nearest_node,near_st_2,changes?,Assume_BA,distance_to_nearest_node,distance_2,Total_Capacity,Weight
0,PP_63444,5.0,SOLAR,-80.843419,36.283819,POINT (-80.843419 36.283819),yellow,DUK,468,DUK,n_15664,n_15664,No,DUK,0.00717783,0.00717783,2361.4,0.0021173879901753194
1,PP_63447,4.9,SOLAR,-80.552473,36.21669,POINT (-80.552473 36.21669),yellow,DUK,51,DUK,n_18870,n_18870,No,DUK,0.110620397,0.110620397,2361.4,0.0020750402303718134
2,PP_63445,4.9,SOLAR,-80.656114,36.14749,POINT (-80.656114 36.14749),yellow,DUK,54,DUK,n_6974,n_6974,No,DUK,0.006223269,0.006223269,2361.4,0.0020750402303718134
3,PP_62660,5.0,SOLAR,-79.126319,35.427308,POINT (-79.126319 35.427308),yellow,CPLE,622,CPLE,n_10009,n_10009,No,CPLE,0.040184013,0.040184013,2632.4,0.0018994073848959123
4,PP_64478,4.9,SOLAR,-77.498759,34.78471,POINT (-77.498759 34.78471),yellow,CPLE,712,CPLE,n_9838,n_9838,No,CPLE,0.014913732,0.014913732,2632.4,0.0018614192371979943
5,PP_63448,4.9,SOLAR,-80.835488,35.916178,POINT (-80.835488 35.916178),yellow,DUK,725,DUK,n_10017,n_10017,No,DUK,0.205338604,0.205338604,2361.4,0.0020750402303718134
6,PP_62661,3.0,SOLAR,-80.806725,36.197067,POINT (-80.806725 36.197067),yellow,DUK,777,DUK,n_7049,n_7049,No,DUK,0.026738216,0.026738216,2361.4,0.0012704327941051917
7,PP_64271,3.0,SOLAR,-80.819654,36.148986,POINT (-80.819654 36.148986),yellow,DUK,762,DUK,n_7049,n_7049,No,DUK,0.072109297,0.072109297,2361.4,0.0012704327941051917
8,PP_63446,4.7,SOLAR,-77.185771,34.773578,POINT (-77.185771 34.773578),yellow,DUK,319,CPLE,n_9454,n_9454,No,DUK,0.055267318,0.055267318,2361.4,0.0019903447107648005
9,PP_61195,2.0,SOLAR,-81.430385,35.244125,POINT (-81.430385 35.244125),yellow,CPLE,268,DUK,n_29803,n_29803,No,CPLE,0.078953254,0.078953254,2632.4,0.000759762953958365
10,PP_63296,2.0,SOLAR,-81.559722,35.23222,POINT (-81.559722 35.23222),yellow,DUK,268,DUK,n_4496,n_4496,No,DUK,0.029959272,0.029959272,2361.4,0.0008469551960701278
11,PP_63979,2.0,SOLAR,-78.385888,35.629398,POINT (-78.385888 35.629398),yellow,CPLE,158,CPLE,n_6893,n_6893,No,CPLE,0.066560427,0.066560427,2632.4,0.000759762953958365
12,PP_59534,5.0,SOLAR,-78.411667,35.4325,POINT (-78.411667 35.4325),yellow,CPLE,414,CPLE,n_6906,n_6906,No,CPLE,0.085327059,0.085327059,2632.4,0.0018994073848959123
13,PP_61525,5.0,SOLAR,-79.748273,35.728738,POINT (-79.748273 35.728738),yellow,CPLE,906,Overlapping,n_6692,n_6692,No,CPLE,0.008442283,0.008442283,2632.4,0.0018994073848959123
14,PP_62621,5.0,SOLAR,-79.911423,35.359674,POINT (-79.911423 35.359674),yellow,CPLE,682,CPLE,n_29983,n_29983,No,CPLE,0.020918872,0.020918872,2632.4,0.0018994073848959123
15,PP_64238,4.9,SOLAR,-78.996148,34.324366,POINT (-78.996148 34.324366),yellow,CPLE,736,CPLE,n_9841,n_9841,No,CPLE,0.053910312,0.053910312,2632.4,0.0018614192371979943
16,PP_63225,4.9,SOLAR,-78.06444,34.27355,POINT (-78.06444 34.27355),yellow,CPLE,135,CPLE,n_6658,n_6658,No,CPLE,0.05318415,0.05318415,2632.4,0.0018614192371979943
