,source,sink,reactance,limit
0,n_2415,n_6402,135.0324713,2566.304004
1,n_6382,n_6384,541.5500476,1266.699488
2,n_9876,n_18868,251.1222521,768.0688125
3,n_30301,n_20153,331.018106,919.3869949
4,n_18303,n_18301,786.7846934,1615.388771
5,n_14283,n_29239,20692.69969,13572.87456
6,n_18285,n_23854,15.82582613,635.594811
7,n_9887,n_15226,91.72818757,398.7164907
8,n_9913,n_9918,134.8736572,512.4570019
9,n_28703,n_28702,77.5027222,357.2894612
10,n_18301,n_18304,435.2945126,1098.81031
11,n_23822,n_23824,80.92417437,1838.873192
12,n_10013,n_23846,68.21952267,1645.384384
13,n_23782,n_9480,13.6439151,577.0827828
14,n_9874,n_17072,180.1825005,618.7906975
15,n_1918,n_18992,1263.030134,2198.341679
16,n_30398,n_30399,33.66178836,207.606609
17,n_10123,n_10126,83.33506355,1874.354365
18,n_6131,n_2416,50.78491865,1357.769824
19,n_29016,n_23792,14.96135004,612.771846
20,n_9842,n_9845,12.79444929,553.4315106
21,n_21559,n_21560,1076.815772,1981.522116
22,n_9851,n_23776,107.1018924,2206.941209
23,n_4477,n_28505,17.9219957,689.2033012
24,n_9956,n_30062,229.8967885,725.1582433
25,n_6902,n_7700,39.39355546,229.9834896
26,n_15826,n_31016,59.19234287,299.7917846
27,n_319,n_29015,59.49983615,1505.229042
28,n_28504,n_18302,9.589493608,458.7138011
29,n_9851,n_30518,120.2458066,2379.678867
30,n_6676,n_22544,1029.923664,9632.275636
31,n_23598,n_28945,25.80086857,873.7089197
32,n_18283,n_30400,245.6835696,757.1984517
33,n_7067,n_9824,248.507149,3817.318864
34,n_9419,n_6664,15.36002096,623.352765
35,n_9487,n_18868,118.0867893,469.9784266
36,n_322,n_7566,94.36617271,2032.348874
37,n_319,n_6894,57.61015353,1473.932833
38,n_14001,n_14015,174.5817433,606.2002386
39,n_23775,n_9848,504.2255443,6050.643928
40,n_20895,n_29873,91.78856955,1996.035232
41,n_15511,n_15512,98.69926973,418.1896132
42,n_9904,n_9910,94.54497205,2034.854898
43,n_6709,n_6711,79.46169322,363.1429397
44,n_14496,n_26258,1479.574825,2436.879255
45,n_9839,n_9840,29.94217605,962.6164745
46,n_26271,n_26273,5299.571569,5591.851159
47,n_28663,n_28673,56.69337536,1458.620657
48,n_26269,n_28302,297.2550032,857.1995986
49,n_7590,n_19223,2105.361606,15341.87726
50,n_14522,n_28305,5121.062051,5468.50045
51,n_26273,n_26276,10060.77694,8487.660251
52,n_6700,n_6703,93.2102982,2016.108126
53,n_29973,n_6897,14.81552884,608.8771735
54,n_20562,n_23861,367.5481057,4925.06946
55,n_29017,n_30068,307.6904082,4386.872473
56,n_2106,n_21118,4656.964656,5140.55349
57,n_23857,n_29979,63.01328145,1562.511123
58,n_10013,n_10012,60.4601095,1520.999587
59,n_6684,n_28470,6.342102008,3118.705813
60,n_23847,n_29015,45.07323301,1256.301572
61,n_1572,n_7041,26.97505214,899.3925288
62,n_1953,n_2053,216.539685,697.4447031
63,n_6701,n_28771,88.86197484,1954.370566
64,n_1924,n_23766,51.26668339,1366.141086
65,n_8330,n_8337,14.82959863,609.2535385
66,n_6134,n_6177,17.27735455,672.9619507
67,n_9941,n_23814,364.8594434,4901.585503
68,n_1060,n_1061,52.36357466,1385.099232
69,n_6402,n_10053,30.2639636,969.3386346
70,n_9942,n_18290,323.36153,905.4865086
71,n_6713,n_8341,36.32872695,1091.731119
72,n_1960,n_6422,12.36214199,541.1851108
73,n_1990,n_6409,134.3613543,511.1889813
74,n_23802,n_30494,96.32678525,2059.738863
75,n_1834,n_6891,115.4309303,20620.17426
76,n_19634,n_28669,28.64164236,935.1870134
77,n_9865,n_23787,114.3858312,2303.526147
78,n_28470,n_4473,10.38208371,4298.548272
79,n_6423,n_18697,32.60448081,1017.504499
80,n_23783,n_9867,27.23689594,905.0663703
81,n_9847,n_23775,46.99681054,1290.949762
82,n_10025,n_14045,161.9629887,577.3039667
83,n_26270,n_28300,618.2836044,1380.823214
84,n_23848,n_28671,78.91872912,1809.07702
85,n_26274,n_28309,856.8690796,1707.663077
86,n_26570,n_31224,96948.02284,37094.68846
87,n_28711,n_30943,105.587696,2186.578583
88,n_7703,n_9823,105.1495526,2180.667542
89,n_29004,n_9898,11.51570886,516.7649544
90,n_9483,n_23781,238.4817891,3716.346265
91,n_9864,n_9866,235.2948608,3683.939781
92,n_6691,n_25047,132.3289327,2532.737053
93,n_7089,n_9821,63.98077595,1578.087389
94,n_4532,n_4534,20.35603351,748.7762627
95,n_18692,n_28635,40.74321369,1176.356107
96,n_26276,n_28308,1338.679228,2283.185958
97,n_3494,n_30304,575.0470786,1317.169852
98,n_322,n_20897,49.56308356,1336.413605
99,n_2042,n_18704,4109.624968,4738.709589
100,n_9956,n_29011,21.79928498,782.922415
101,n_4093,n_7049,34.81192527,1061.836815
102,n_1918,n_6393,73.94356195,346.5205591
103,n_6987,n_22602,179.9574491,618.2874421
104,n_9480,n_23781,214.3097795,3466.57945
105,n_9958,n_31016,22.5068448,799.3732998
106,n_30412,n_6669,20.69292255,756.8204102
107,n_9849,n_23777,63.66670436,1573.040034
108,n_18706,n_18707,287.693283,839.1471357
109,n_15691,n_15692,48.23115152,262.3742167
110,n_6660,n_6682,24.34917834,841.3837289
111,n_18708,n_28211,451.3688312,1125.058012
112,n_4517,n_28664,27.5665139,912.1818067
113,n_9886,n_23792,266.9846868,3999.773867
114,n_6413,n_23899,264.5869244,794.6335208
115,n_10014,n_14322,110364.3902,40360.49885
116,n_18292,n_18294,79.13255657,362.1630179
117,n_14283,n_14301,1597.685439,2561.814555
118,n_6660,n_6678,117.2242184,2340.577981
119,n_18268,n_18269,1832.795796,2801.316204
120,n_6404,n_10053,125.0403547,487.8143205
121,n_9477,n_23596,44.19672731,1240.342959
122,n_13841,n_29284,407.5449046,1052.686605
123,n_18280,n_30525,24.29394615,840.1407748
