,line,reactance,limit
0,n_6660_n_6682,24.34917834,841.3837289
1,n_6678_n_6682,20.22450113,745.6229763
2,n_28667_n_6682,41.11505093,1183.33406
3,n_6967_n_6682,23.880116,830.7962742
4,n_6682_n_7011,32.09905183,1007.208188
5,n_2415_n_6402,135.0324713,2566.304004
6,n_6382_n_6384,541.5500476,1266.699488
7,n_9876_n_18868,251.1222521,768.0688125
8,n_30301_n_20153,331.018106,919.3869949
9,n_18303_n_18301,786.7846934,1615.388771
10,n_14283_n_29239,20692.69969,13572.87456
11,n_18285_n_23854,15.82582613,635.594811
12,n_9887_n_15226,91.72818757,398.7164907
13,n_9913_n_9918,134.8736572,512.4570019
14,n_28703_n_28702,77.5027222,357.2894612
15,n_18301_n_18304,435.2945126,1098.81031
16,n_23822_n_23824,80.92417437,1838.873192
17,n_10013_n_23846,68.21952267,1645.384384
18,n_23782_n_9480,13.6439151,577.0827828
19,n_9874_n_17072,180.1825005,618.7906975
20,n_1918_n_18992,1263.030134,2198.341679
21,n_30398_n_30399,33.66178836,207.606609
22,n_10123_n_10126,83.33506355,1874.354365
23,n_6131_n_2416,50.78491865,1357.769824
24,n_29016_n_23792,14.96135004,612.771846
25,n_9842_n_9845,12.79444929,553.4315106
26,n_21559_n_21560,1076.815772,1981.522116
27,n_9851_n_23776,107.1018924,2206.941209
28,n_4477_n_28505,17.9219957,689.2033012
29,n_9956_n_30062,229.8967885,725.1582433
30,n_6902_n_7700,39.39355546,229.9834896
31,n_15826_n_31016,59.19234287,299.7917846
32,n_319_n_29015,59.49983615,1505.229042
33,n_28504_n_18302,9.589493608,458.7138011
34,n_9851_n_30518,120.2458066,2379.678867
35,n_6676_n_22544,1029.923664,9632.275636
36,n_23598_n_28945,25.80086857,873.7089197
37,n_18283_n_30400,245.6835696,757.1984517
38,n_7067_n_9824,248.507149,3817.318864
39,n_9419_n_6664,15.36002096,623.352765
40,n_9487_n_18868,118.0867893,469.9784266
41,n_322_n_7566,94.36617271,2032.348874
42,n_319_n_6894,57.61015353,1473.932833
43,n_14001_n_14015,174.5817433,606.2002386
44,n_23775_n_9848,504.2255443,6050.643928
45,n_20895_n_29873,91.78856955,1996.035232
46,n_15511_n_15512,98.69926973,418.1896132
47,n_9904_n_9910,94.54497205,2034.854898
48,n_6709_n_6711,79.46169322,363.1429397
49,n_14496_n_26258,1479.574825,2436.879255
50,n_9839_n_9840,29.94217605,962.6164745
51,n_26271_n_26273,5299.571569,5591.851159
52,n_28663_n_28673,56.69337536,1458.620657
53,n_26269_n_28302,297.2550032,857.1995986
54,n_7590_n_19223,2105.361606,15341.87726
55,n_14522_n_28305,5121.062051,5468.50045
56,n_26273_n_26276,10060.77694,8487.660251
57,n_6700_n_6703,93.2102982,2016.108126
58,n_29973_n_6897,14.81552884,608.8771735
59,n_20562_n_23861,367.5481057,4925.06946
60,n_29017_n_30068,307.6904082,4386.872473
61,n_2106_n_21118,4656.964656,5140.55349
62,n_23857_n_29979,63.01328145,1562.511123
63,n_10013_n_10012,60.4601095,1520.999587
64,n_6684_n_28470,6.342102008,3118.705813
65,n_23847_n_29015,45.07323301,1256.301572
66,n_1572_n_7041,26.97505214,899.3925288
67,n_1953_n_2053,216.539685,697.4447031
68,n_6701_n_28771,88.86197484,1954.370566
69,n_1924_n_23766,51.26668339,1366.141086
70,n_8330_n_8337,14.82959863,609.2535385
71,n_6134_n_6177,17.27735455,672.9619507
72,n_9941_n_23814,364.8594434,4901.585503
73,n_1060_n_1061,52.36357466,1385.099232
74,n_6402_n_10053,30.2639636,969.3386346
75,n_9942_n_18290,323.36153,905.4865086
76,n_6713_n_8341,36.32872695,1091.731119
77,n_1960_n_6422,12.36214199,541.1851108
78,n_1990_n_6409,134.3613543,511.1889813
79,n_23802_n_30494,96.32678525,2059.738863
80,n_1834_n_6891,115.4309303,20620.17426
81,n_19634_n_28669,28.64164236,935.1870134
82,n_9865_n_23787,114.3858312,2303.526147
83,n_28470_n_4473,10.38208371,4298.548272
84,n_6423_n_18697,32.60448081,1017.504499
85,n_23783_n_9867,27.23689594,905.0663703
86,n_9847_n_23775,46.99681054,1290.949762
87,n_10025_n_14045,161.9629887,577.3039667
88,n_26270_n_28300,618.2836044,1380.823214
89,n_23848_n_28671,78.91872912,1809.07702
90,n_26274_n_28309,856.8690796,1707.663077
91,n_26570_n_31224,96948.02284,37094.68846
92,n_28711_n_30943,105.587696,2186.578583
93,n_7703_n_9823,105.1495526,2180.667542
94,n_29004_n_9898,11.51570886,516.7649544
95,n_9483_n_23781,238.4817891,3716.346265
96,n_9864_n_9866,235.2948608,3683.939781
97,n_6691_n_25047,132.3289327,2532.737053
98,n_7089_n_9821,63.98077595,1578.087389
99,n_4532_n_4534,20.35603351,748.7762627
100,n_18692_n_28635,40.74321369,1176.356107
101,n_26276_n_28308,1338.679228,2283.185958
102,n_3494_n_30304,575.0470786,1317.169852
103,n_322_n_20897,49.56308356,1336.413605
104,n_2042_n_18704,4109.624968,4738.709589
105,n_9956_n_29011,21.79928498,782.922415
106,n_4093_n_7049,34.81192527,1061.836815
107,n_1918_n_6393,73.94356195,346.5205591
108,n_6987_n_22602,179.9574491,618.2874421
109,n_9480_n_23781,214.3097795,3466.57945
110,n_9958_n_31016,22.5068448,799.3732998
111,n_30412_n_6669,20.69292255,756.8204102
112,n_9849_n_23777,63.66670436,1573.040034
113,n_18706_n_18707,287.693283,839.1471357
